Brown rice,base,216,1,cup,.33
Pasta,base,200,2,oz,1
Quinoa,base,222,1,cup,.33
Lentils,filling,230,1,cup,.5
Chickpeas,filling,269,1,cup,1
Black beans,filling,227,1,cup,1
